ID,inchikey,smiles
cpd00092,ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=c1cc[nH]c(=O)[nH]1
cpd00093,RWZYAGGXGHYGMB-UHFFFAOYSA-M,Nc1ccccc1C(=O)[O-]
cpd00094,TYEYBOSBBBHJIV-UHFFFAOYSA-M,CCC(=O)C(=O)[O-]
cpd00095,GNGACRATGGDKBX-UHFFFAOYSA-L,O=C(CO)COP(=O)([O-])[O-]
cpd00096,ZWIADYZPOWUWEW-XVFCMESISA-L,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1
cpd00098,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
cpd00099,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-]
cpd00099,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-]
cpd00099,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-]
cpd00100,PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO
cpd00100,PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO
cpd00101,KTVPXOYAKDPRHY-SOOFDHNKSA-L,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O
cpd00102,LXJXRIRHZLFYRP-VKHMYHEASA-L,O=C[C@H](O)COP(=O)([O-])[O-]
cpd00103,PQGCEDQWHSBAJP-TXICZTDVSA-J,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O
cpd00104,YBJHBAHKTGYVGT-ZKWXMUAHSA-M,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
cpd00105,HMFHBZSHGGEWLO-SOOFDHNKSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
cpd00106,VZCYOOQTPOCHFL-OWOJBTEDSA-L,O=C([O-])/C=C/C(=O)[O-]
cpd00107,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H]([NH3+])C(=O)[O-]
cpd00108,WQZGKKKJIJFFOK-SVZMEOIVSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
cpd00109,,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
cpd00110,,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
cpd00111,YPZRWBKMTBYPTK-BJDJZHNGSA-L,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
cpd00112,TXCIAUNLDRJGJZ-BILDWYJOSA-L,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
cpd00113,NUHSROFQTUXZQQ-UHFFFAOYSA-L,C=C(C)CCOP(=O)([O-])OP(=O)([O-])O
cpd00114,GRSZFWQUAKGDAV-KQYNXXCUSA-L,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd00115,SUYVUBYJARFZHO-RRKCRQDMSA-K,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1
cpd00116,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO
cpd00116,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO
cpd00117,QNAYBMKLOCPYGJ-UWTATZPHSA-N,C[C@@H]([NH3+])C(=O)[O-]
cpd00118,KIDHWZJUCRJVML-UHFFFAOYSA-P,[NH3+]CCCC[NH3+]
cpd00119,HNDVDQJCIGZPNO-YFKPBYRVSA-N,[NH3+][C@@H](Cc1c[nH]cn1)C(=O)[O-]
cpd00120,CRFNGMNYKDXRTN-HDRJHVAISA-J,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
cpd00121,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
cpd00122,OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd00123,QHKABHOOEWYVLI-UHFFFAOYSA-M,CC(C)C(=O)C(=O)[O-]
cpd00125,QYNUQALWYRSVHF-OLZOCXBDSA-L,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2
cpd00126,RQFCJASXJCIDSX-UUOKFMHZSA-L,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00127,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Oc1ccccc1
cpd00128,GFFGJBXGBJISGV-UHFFFAOYSA-N,Nc1ncnc2[nH]cnc12
cpd00129,ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C([O-])[C@@H]1CCC[NH2+]1
cpd00130,BJEPYKJPYRNKOW-REOHCLBHSA-L,O=C([O-])C[C@H](O)C(=O)[O-]
cpd00132,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H]([NH3+])C(=O)[O-]
cpd00132,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H]([NH3+])C(=O)[O-]
cpd00132,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H]([NH3+])C(=O)[O-]
cpd00134,MNBKLUUYKPBKDU-BBECNAHFSA-J,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00135,FFFHZYDWPBMWHY-VKHMYHEASA-N,[NH3+][C@@H](CCS)C(=O)[O-]
cpd00136,FJKROLUGYXJWQN-UHFFFAOYSA-M,O=C([O-])c1ccc(O)cc1
cpd00137,KRKNYBCHXYNGOX-UHFFFAOYSA-K,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
cpd00137,KRKNYBCHXYNGOX-UHFFFAOYSA-K,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
